id,dm_type,language,tone,niche,hook,benefit,proof,scarcity,cta,cta_keyword,link_base,utm_campaign,merge_first_name,merge_company,merge_industry,notes
DM1-A1,curso,ES,tuteo,general,"Ahorra 10+ h/sem con IA","Checklist aplicable en 24h","Lista de espera 47","Quedan 8 cupos","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia","{{first_name}}","","{{industry}}","60' casos reales"
DM1-A2,curso,ES,usted,general,"Casos reales, no teoría","Herramientas plug & play","Empresas +$500K","20 cupos, quedan 8","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia","{{first_name}}","","","Formal"
DM1-A3,curso,ES,tuteo,ecommerce,"Catálogo cambia rápido","Fichas/ads/emails en minutos","Flujos probados","8 cupos","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia_ecom","{{first_name}}","","ecommerce","Nicho ecom"
DM1-A4,curso,ES,tuteo,agencias,"Escala sin contratar","Briefs en 2 min","3 casos en vivo","Quedan pocos","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia_agencias","{{first_name}}","","agencias",""
DM1-A5,curso,EN,neutral,general,"Save 10+ hrs/week","24h implementation checklist","47 waitlist","8 seats left","RESERVE","RESERVE","https://tudominio.com/webinar-ia","webinar_ia_en","{{first_name}}","","","EN snippet"
DM1-A6,curso,PT,neutral,general,"Poupe 10+ h/sem","Checklist aplicável em 24h","lista de espera 47","8 vagas","RESERVAR","RESERVAR","https://tudominio.com/webinar-ia","webinar_ia_pt","{{first_name}}","","","PT snippet"
DM1-A7,curso,ES,tuteo,real_estate,"Listings/tours en minutos","DMs follow-up preparados","Caso real","8 cupos","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia_re","{{first_name}}","","real_estate",""
DM1-A8,curso,ES,vos,general,"3 casos en 60'","Ahorro inmediato","Lista espera","8 cupos","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia_latam","{{first_name}}","","","vos"
DM1-A9,curso,ES,usted,B2B,"Optimización de procesos","No-code + plantillas","Benchmarks","Quedan 8","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia_b2b","{{first_name}}","{{company}}","B2B",""
DM1-A10,curso,ES,tuteo,educacion,"Guiones/lecciones en 1h","Outline en 10 min","Casos reales","Últimos 8","RESERVA","RESERVA","https://tudominio.com/webinar-ia","webinar_ia_edu","{{first_name}}","","educacion",""
DM2-B1,saas,ES,tuteo,B2B,"Campañas en 7 min","ROI real-time","Caso cliente +340%","2 cupos","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo","{{first_name}}","{{company}}","{{industry}}","Priorizar Calendly"
DM2-B2,saas,ES,usted,enterprise,"Métricas en tiempo real","Sin configuraciones complejas","Acceso anticipado","2 cupos","AGENDA","AGENDA","https://tudominio.com/demo-saas-ia","saas_demo_enterprise","{{first_name}}","{{company}}","","Formal"
DM2-B3,saas,ES,tuteo,agencias,"Escala sin headcount","Briefs/reporting minutos","Lista reducida","2 slots","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo_agencias","{{first_name}}","","agencias",""
DM2-B4,saas,EN,neutral,B2B,"7-minute campaigns","Real-time ROI","Client +340%","2 seats","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo_en","{{first_name}}","{{company}}","","EN"
DM2-B5,saas,PT,neutral,B2B,"Campanhas em 7 min","ROI em tempo real","cliente +340%","2 vagas","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo_pt","{{first_name}}","{{company}}","","PT"
DM2-B6,saas,ES,tuteo,startup,"Lanza 3 campañas/sem","Sin ampliar equipo","Go-live cercano","2 cupos","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo_startup","{{first_name}}","{{company}}","startup",""
DM2-B7,saas,ES,vos,B2B,"Superpoderes para equipos chicos","Copy+diseño+estrategia","Prioridad lista","2 lugares","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo_latam","{{first_name}}","{{company}}","","vos"
DM2-B8,saas,ES,usted,B2B,"Integraciones clave","Onboarding simple","NDA disponible","2 agendas","CALENDARIO","CALENDARIO","https://tudominio.com/demo-saas-ia","saas_demo_ndas","{{first_name}}","{{company}}","","NDA"
DM2-B9,saas,ES,tuteo,ecommerce,"UGC+ads por SKU","Variaciones creativas rápidas","DTC pruebas","2 cupos","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo_dtc","{{first_name}}","","ecommerce",""
DM2-B10,saas,ES,tuteo,educacion,"Lanzamientos 1/3 de tiempo","Páginas+emails+ads","Checklist 24h","2 cupos","DEMO","DEMO","https://tudominio.com/demo-saas-ia","saas_demo_edu","{{first_name}}","","educacion",""
DM3-C1,bulk,ES,tuteo,consultoria,"Propuestas en 2 min","Docs presentables","Caso ahorra 40h/sem","3 cupos","SÍ","SÍ","https://tudominio.com/demo-ia-bulk","iabulk_demo","{{first_name}}","","consultoria","PDF sample"
DM3-C2,bulk,ES,usted,B2B,"Reportes ejecutivos automáticos","Gráficos+recomendaciones","Enterprise-ready","3 cupos","QUIERO","QUIERO","https://tudominio.com/demo-ia-bulk","iabulk_demo_b2b","{{first_name}}","{{company}}","",""
DM3-C3,bulk,ES,tuteo,ecommerce,"Descripciones SEO y briefs","Por SKU en minutos","Plantillas nicho","3 cupos","SÍ","SÍ","https://tudominio.com/demo-ia-bulk","iabulk_demo_ecom","{{first_name}}","","ecommerce",""
DM3-C4,bulk,EN,neutral,general,"Full docs from 1 prompt","2-5 min output","Priority access","3 seats","YES","YES","https://tudominio.com/demo-ia-bulk","iabulk_demo_en","{{first_name}}","","","EN"
DM3-C5,bulk,PT,neutral,general,"Documentos completos de 1 prompt","2-5 min","Acesso prioritário","3 vagas","SIM","SIM","https://tudominio.com/demo-ia-bulk","iabulk_demo_pt","{{first_name}}","","","PT"
DM3-C6,bulk,ES,tuteo,real_estate,"Fichas+comparables","Correos de seguimiento","Caso mercado","3 cupos","SÍ","SÍ","https://tudominio.com/demo-ia-bulk","iabulk_demo_re","{{first_name}}","","real_estate",""
DM3-C7,bulk,ES,vos,consultoria,"Propuesta 10 páginas","Análisis+roadmap+pricing","Ejemplo PDF","3 cupos","SÍ","SÍ","https://tudominio.com/demo-ia-bulk","iabulk_demo_latam","{{first_name}}","","","vos"
DM3-C8,bulk,ES,usted,producto,"Plan de negocio+reporte","Desde una pregunta","Acceso privado","3 plazas","QUIERO","QUIERO","https://tudominio.com/demo-ia-bulk","iabulk_demo_prod","{{first_name}}","","",""
DM3-C9,bulk,ES,tuteo,educacion,"Guiones+rúbricas","Informes de avance","Plantillas","3 cupos","SÍ","SÍ","https://tudominio.com/demo-ia-bulk","iabulk_demo_edu","{{first_name}}","","educacion",""
DM3-C10,bulk,ES,tuteo,B2B,"Executive summaries","Anexos+checklists","GDPR+privado","3 cupos","LINK","LINK","https://tudominio.com/demo-ia-bulk","iabulk_demo_b2b","{{first_name}}","{{company}}","",""
