campaign_name,channel,medium,persona_market,base_url,utm_source,utm_medium,utm_campaign,utm_content,utm_term,hook,cta,date,final_url,shortlink
curso_ia_story_A,instagram,stories,mx_buyer,https://tusitio.com/curso-ia,instagram,stories,cursoia_ig_registros_2025-10,curso-ia10dias-empieza-gratis-2025-10-30,mx_buyer,ia10dias,empieza-gratis,2025-10-30,https://tusitio.com/curso-ia?utm_source=instagram&utm_medium=stories&utm_campaign=cursoia_ig_registros_2025-10&utm_content=curso-ia10dias-empieza-gratis-2025-10-30&utm_term=mx_buyer,
curso_ia_reel_B,instagram,reels,es_founder,https://tusitio.com/curso-ia,instagram,reels,cursoia_ig_registros_2025-10,curso-prompts-resultados-reserva-2025-10-30,es_founder,prompts-resultados,reserva,2025-10-30,https://tusitio.com/curso-ia?utm_source=instagram&utm_medium=reels&utm_campaign=cursoia_ig_registros_2025-10&utm_content=curso-prompts-resultados-reserva-2025-10-30&utm_term=es_founder,
curso_ia_ad_C,instagram,ads,mx_cmo,https://tusitio.com/curso-ia,instagram,ads,cursoia_ads_conversion_2025-10,curso-h1_beneficio_cta_rojo-2025-10-30,mx_cmo,h1_beneficio,sign_up,2025-10-30,https://tusitio.com/curso-ia?utm_source=instagram&utm_medium=ads&utm_campaign=cursoia_ads_conversion_2025-10&utm_content=curso-h1_beneficio_cta_rojo-2025-10-30&utm_term=mx_cmo,
saas_marketing_story_A,instagram,stories,co_growth,https://tusitio.com/saas-ia,instagram,stories,saasia_ig_trials_2025-10,saas-10x-ab1clic-empieza-gratis-2025-10-30,co_growth,10x_ab1clic,empieza-gratis,2025-10-30,https://tusitio.com/saas-ia?utm_source=instagram&utm_medium=stories&utm_campaign=saasia_ig_trials_2025-10&utm_content=saas-10x-ab1clic-empieza-gratis-2025-10-30&utm_term=co_growth,
saas_marketing_reel_B,instagram,reels,es_cmo,https://tusitio.com/saas-ia,instagram,reels,saasia_ig_trials_2025-10,saas-idea-publicacion-ver-demo-2025-10-30,es_cmo,idea-publicacion,ver-demo,2025-10-30,https://tusitio.com/saas-ia?utm_source=instagram&utm_medium=reels&utm_campaign=saasia_ig_trials_2025-10&utm_content=saas-idea-publicacion-ver-demo-2025-10-30&utm_term=es_cmo,
saas_marketing_ad_C,facebook,remarketing,mx_buyer,https://tusitio.com/saas-ia,facebook,remarketing,saasia_cart_7d_2025-10,h1_directo_cta_amarillo_fondo_degradado,mx_7d,h1_directo,learn_more,2025-10-30,https://tusitio.com/saas-ia?utm_source=facebook&utm_medium=remarketing&utm_campaign=saasia_cart_7d_2025-10&utm_content=h1_directo_cta_amarillo_fondo_degradado&utm_term=mx_7d,
iabulk_docs_story_A,instagram,stories,ar_ops,https://tusitio.com/ia-bulk,instagram,stories,iabulk_ig_leads_2025-10,bulk-1consulta-30docs-pruebalo-ahora-2025-10-30,ar_ops,1consulta_30docs,pruebalo-ahora,2025-10-30,https://tusitio.com/ia-bulk?utm_source=instagram&utm_medium=stories&utm_campaign=iabulk_ig_leads_2025-10&utm_content=bulk-1consulta-30docs-pruebalo-ahora-2025-10-30&utm_term=ar_ops,
iabulk_docs_reel_B,instagram,reels,cl_agency,https://tusitio.com/ia-bulk,instagram,reels,iabulk_ig_leads_2025-10,bulk-3docs-60s-crear3docs-2025-10-30,cl_agency,3docs_60s,crear-3-docs,2025-10-30,https://tusitio.com/ia-bulk?utm_source=instagram&utm_medium=reels&utm_campaign=iabulk_ig_leads_2025-10&utm_content=bulk-3docs-60s-crear3docs-2025-10-30&utm_term=cl_agency,
iabulk_docs_ad_C,instagram,ads,pe_founder,https://tusitio.com/ia-bulk,instagram,ads,iabulk_ads_demo_2025-10,h1_urgencia_cta_rojo_fondo_dark,pe_founder,h1_urgencia,sign_up,2025-10-30,https://tusitio.com/ia-bulk?utm_source=instagram&utm_medium=ads&utm_campaign=iabulk_ads_demo_2025-10&utm_content=h1_urgencia_cta_rojo_fondo_dark&utm_term=pe_founder,
realestate_dm_whatsapp_A,whatsapp,dm,mx_buyer,https://tusitio.com/visita,whatsapp,dm,realestate_dm_agendar_2025-10,checklist-barrio_norte-reserva,mx_buyer,checklist_barrio,reserva,2025-10-30,https://tusitio.com/visita?utm_source=whatsapp&utm_medium=dm&utm_campaign=realestate_dm_agendar_2025-10&utm_content=checklist-barrio_norte-reserva&utm_term=mx_buyer,
realestate_dm_email_B,email,dm,es_buyer,https://tusitio.com/tour,email,dm,realestate_dm_tour_2025-10,videotour-barrio_centro-ver_demo,es_buyer,videotour_barrio,ver-demo,2025-10-30,https://tusitio.com/tour?utm_source=email&utm_medium=dm&utm_campaign=realestate_dm_tour_2025-10&utm_content=videotour-barrio_centro-ver_demo&utm_term=es_buyer,

# REEMPLAZA tus dominios y actualiza YYYY-MM y fechas.
# utm_content recomendado: [pieza]-[hook]-[cta]-[fecha] (y debe coincidir con el nombre de archivo exportado)
# persona_market (utm_term) recomendado: [mercado]_[persona] ej. mx_buyer, es_cmo

