slug,full_url,notes
/saasia/ig/2025-11/beneficio-v1,https://tusitio.com/landing?utm_source=instagram&utm_medium=feed&utm_campaign=saasia_demo_ig_2025-11&utm_content=beneficio_v1,IG feed demo SaaS
/saasia/reel/2025-11/progressbar-v1,https://tusitio.com/landing?utm_source=instagram&utm_medium=reel&utm_campaign=saasia_demo_ig_2025-11&utm_content=progressbar_v1,IG reel progress bar
/saasia/carousel/2025-11/proceso-slide3,https://tusitio.com/landing?utm_source=instagram&utm_medium=carousel&utm_campaign=saasia_demo_ig_2025-11&utm_content=proceso_slide3,IG carrusel proceso slide 3
/cursoia/email/2025-11/cta-primary,https://tusitio.com/curso?utm_source=email&utm_medium=email&utm_campaign=cursoia_registro_email_2025-11&utm_content=cta_primary,Email CTA principal
/cursoia/wpp/2025-11/dm-v1,https://tusitio.com/curso?utm_source=whatsapp&utm_medium=message&utm_campaign=cursoia_wpp_registro_2025-11&utm_content=dm_v1,WhatsApp DM registro
/iabulk/ig/2025-11/beneficio-v2,https://tusitio.com/docs?utm_source=instagram&utm_medium=feed&utm_campaign=iabulk_demo_ig_2025-11&utm_content=beneficio_v2,IG feed IA Bulk
/iabulk/reel/2025-11/progressbar-v1,https://tusitio.com/docs?utm_source=instagram&utm_medium=reel&utm_campaign=iabulk_demo_ig_2025-11&utm_content=progressbar_v1,IG reel IA Bulk
/saasia/meta/2025-11/tof-beneficio-reel,https://tusitio.com/landing?utm_source=meta&utm_medium=cpc&utm_campaign=saasia_tof_meta_2025-11&utm_content=beneficio_reel_cta_primary,Meta TOF beneficio
/saasia/meta/2025-11/mof-proceso-carousel,https://tusitio.com/landing?utm_source=meta&utm_medium=cpc&utm_campaign=saasia_mof_meta_2025-11&utm_content=proceso_carousel_cta_demo,Meta MOF proceso
/saasia/meta/2025-11/bof-urgencia-static,https://tusitio.com/landing?utm_source=meta&utm_medium=cpc&utm_campaign=saasia_bof_meta_2025-11&utm_content=urgencia_static_cta_trial&utm_term=viewcontent_7d,Meta BOF urgencia VC 7d
/saasia/ggl/2025-11/search-brand-rsas3,https://tusitio.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=saasia_search_brand_2025-11&utm_content=rsas_v3&utm_term=kw_saasia,Google Search Brand
/saasia/ggl/2025-11/search-nb-rsas2,https://tusitio.com/landing?utm_source=google&utm_medium=cpc&utm_campaign=saasia_search_nb_2025-11&utm_content=rsas_v2&utm_term=kw_software_marketing_ia,Google Search NonBrand
/saasia/ggl/2025-11/pmax-asset-beneficio,https://tusitio.com/landing?utm_source=google&utm_medium=pmax&utm_campaign=saasia_pmax_2025-11&utm_content=assetgroup_beneficio_v1,Google PMAX asset beneficio
/webinar/ig/2025-11/hero-v1,https://tusitio.com/webinar?utm_source=instagram&utm_medium=feed&utm_campaign=webinar_registro_ig_2025-11&utm_content=hero_v1,IG feed webinar
/webinar/story/2025-11/countdown-v1,https://tusitio.com/webinar?utm_source=instagram&utm_medium=story&utm_campaign=webinar_registro_ig_2025-11&utm_content=countdown_v1,IG story webinar countdown
/realestate/wpp/2025-11/checklist-barrio-norte,https://tusitio.com/visita?utm_source=whatsapp&utm_medium=dm&utm_campaign=realestate_dm_agendar_2025-11&utm_content=checklist-barrio_norte-reserva,WhatsApp Real Estate DM
/realestate/email/2025-11/tour-barrio-centro,https://tusitio.com/tour?utm_source=email&utm_medium=dm&utm_campaign=realestate_dm_tour_2025-11&utm_content=videotour-barrio_centro-ver_demo,Email Real Estate tour
/cursoia/qr/2025-11/flyer-evento,https://tusitio.com/curso?utm_source=qr&utm_medium=offline&utm_campaign=cursoia_evento_2025-11&utm_content=flyer_evento,Flyer QR curso
/saasia/linkedin/2025-11/demo-inmail,https://tusitio.com/demo?utm_source=linkedin_inmail&utm_medium=social&utm_campaign=saasia_linkedin_demo_2025-11&utm_content=roi_saas&utm_term=cmo_mexico,LinkedIn InMail demo
/iabulk/linkedin/2025-11/connections-compliance,https://tusitio.com/docs?utm_source=linkedin_connection&utm_medium=social&utm_campaign=iabulk_linkedin_demo_2025-11&utm_content=compliance_fintech&utm_term=ops_chile,LinkedIn Connections IA Bulk



