stack,objetivo,variant,subject_line
hubspot,respuesta,A,"HubSpot + 2 Qs (1 min) – cero venta"
hubspot,respuesta,B,"Tu cuello de botella en HubSpot (2 bullets, 1 min)"
hubspot,demo,A,"Demo 10’ con tus datos de HubSpot – ¿hoy 16:00 o mañana 10:30?"
hubspot,demo,B,"Te muestro en 10’ cómo integramos con HubSpot (2 horarios)"
hubspot,piloto,A,"Mini piloto 48h usando tu HubSpot – activamos?"
hubspot,piloto,B,"Prueba express 48h (HubSpot) – bajo riesgo, alto apalancamiento"
hubspot,recurso,A,"Benchmark 2025 de IA + prompts para HubSpot (gratis)"
hubspot,recurso,B,"Plantilla editable de prompts para HubSpot – te la paso?"
hubspot,calendario,A,"Propuesta 10’ (HubSpot): hoy 16:00 o mañana 10:30"
hubspot,calendario,B,"2 horarios de 10’ para validar feature en HubSpot"

ga4,respuesta,A,"GA4 + 2 Qs (1 min) – gracias"
ga4,respuesta,B,"¿Me ayudas 1 min? GA4 + 2 bullets"
ga4,demo,A,"Demo 10’ con tus métricas GA4 – slots hoy/mñn"
ga4,demo,B,"En 10’ te enseño cómo priorizar insights en GA4"
ga4,piloto,A,"Mini piloto 48h con tus KPIs GA4 – ¿lo armamos?"
ga4,piloto,B,"Test express 48h (GA4) – resultados rápidos"
ga4,recurso,A,"Playbook de insights GA4 + benchmark 2025 (gratis)"
ga4,recurso,B,"Template editable: reportes GA4 por canal – ¿te lo envío?"
ga4,calendario,A,"¿Hoy 16:00 o mañana 10:30? 10’ para GA4"
ga4,calendario,B,"10’ para priorizar hallazgos GA4 – 2 horarios"

meta_ads,respuesta,A,"Tus creatividades + 2 Qs (1 min) – Meta Ads"
meta_ads,respuesta,B,"Optimizar creatividades (2 bullets, 1 min)"
meta_ads,demo,A,"Demo 10’: hipótesis creativas y test A/B"
meta_ads,demo,B,"10’ para bajar CPA con IA creativa – ¿2 horarios?"
meta_ads,piloto,A,"Piloto 48h: test creativo asistido (Meta Ads)"
meta_ads,piloto,B,"Activamos test 48h con 1 variable por hipótesis?"
meta_ads,recurso,A,"Benchmark ROAS 2025 e‑commerce + checklist creativo"
meta_ads,recurso,B,"Guía: 7 prompts para creatividades que convierten"
meta_ads,calendario,A,"10’ para revisar hipótesis creativas – hoy/mñn"
meta_ads,calendario,B,"Agenda 10’: priorizamos tests (bajo riesgo)"

ecommerce,recurso,A,"Benchmark 2025 ROAS e‑commerce (gratis) – ¿lo quieres?"
ecommerce,recurso,B,"Plantilla de copies para PDP/PLP – editable"
saas_b2b,respuesta,A,"B2B SaaS: 2 Qs (1 min) para validar feature"
saas_b2b,demo,A,"Demo 10’ (stack B2B) – 2 horarios rápidos"
agencia,respuesta,A,"Agencia: 2 Qs (1 min) para escalar sin contratar"
agencia,piloto,A,"Piloto 48h enfocado en entregables agencia – ¿lo activamos?"
