id,categoria,nombre,kpi,impacto,confianza,esfuerzo,ice,owner,estado,fecha_objetivo,notas
1,Marketing y crecimiento,Captura de emails con bienvenida,,,,,,,backlog,,
2,Marketing y crecimiento,Serie de onboarding por correo,,,,,,,backlog,,
3,Marketing y crecimiento,Recuperación de carrito abandonado,,,,,,,backlog,,
4,Marketing y crecimiento,Re-engagement a contactos inactivos,,,,,,,backlog,,
5,Marketing y crecimiento,Newsletter programada curada,,,,,,,backlog,,
6,Marketing y crecimiento,Segmentación dinámica por comportamiento,,,,,,,backlog,,
7,Marketing y crecimiento,Lead magnet con entrega automática,,,,,,,backlog,,
8,Marketing y crecimiento,UTM tracking + enriquecimiento CRM,,,,,,,backlog,,
9,Marketing y crecimiento,Publicación cruzada en redes,,,,,,,backlog,,
10,Marketing y crecimiento,A/B testing de asuntos y contenido,,,,,,,backlog,,
11,Ventas,Lead scoring por intención y encaje,,,,,,,backlog,,
12,Ventas,Ruteo automático de leads a vendedor,,,,,,,backlog,,
13,Ventas,Secuencias de outreach multicanal,,,,,,,backlog,,
14,Ventas,Recordatorios automáticos de follow-up,,,,,,,backlog,,
15,Ventas,Enriquecimiento de leads firmográfico,,,,,,,backlog,,
16,Ventas,Creación automática de deals en CRM,,,,,,,backlog,,
17,Ventas,Alertas de señales de compra,,,,,,,backlog,,
18,Ventas,Propuestas/cotizaciones desde plantillas,,,,,,,backlog,,
19,Ventas,Calendario de demos con recordatorios,,,,,,,backlog,,
20,Ventas,Nurturing de leads no calificados,,,,,,,backlog,,
21,Atención/Éxito,Chatbot FAQs con KB,,,,,,,backlog,,
22,Atención/Éxito,Tiquetes desde Email/Web/WhatsApp,,,,,,,backlog,,
23,Atención/Éxito,Asignación de casos por prioridad/tema,,,,,,,backlog,,
24,Atención/Éxito,Encuestas CSAT post-resolución,,,,,,,backlog,,
25,Atención/Éxito,Onboarding por rol/tamaño de cuenta,,,,,,,backlog,,
26,Atención/Éxito,Alertas de churn por señales,,,,,,,backlog,,
27,Atención/Éxito,Renovaciones y recordatorios automáticos,,,,,,,backlog,,
28,Atención/Éxito,Sugerencias de KB por IA,,,,,,,backlog,,
29,Atención/Éxito,Escalamiento por SLA,,,,,,,backlog,,
30,Atención/Éxito,Mensajes proactivos in-app por evento,,,,,,,backlog,,
31,Producto/UX,Feedback in-app tras acciones,,,,,,,backlog,,
32,Producto/UX,Encuestas NPS cíclicas,,,,,,,backlog,,
33,Producto/UX,Notificaciones de nuevas funciones,,,,,,,backlog,,
34,Producto/UX,Tours interactivos por feature,,,,,,,backlog,,
35,Producto/UX,Emails de activación por umbral de uso,,,,,,,backlog,,
36,Producto/UX,Recordatorios de completar perfil,,,,,,,backlog,,
37,Producto/UX,Beta opt-in y gestión de testers,,,,,,,backlog,,
38,Producto/UX,Alertas de errores UX frecuentes,,,,,,,backlog,,
39,Producto/UX,Heatmaps/Session recording por regla,,,,,,,backlog,,
40,Producto/UX,Roadmap voting + consolidación,,,,,,,backlog,,
41,Ingeniería/DevOps,CI/CD con tests y despliegue,,,,,,,backlog,,
42,Ingeniería/DevOps,Checks de calidad en PR,,,,,,,backlog,,
