id,dm_type,language,tone,niche,hook,benefit,proof,scarcity,cta,cta_keyword,link_base,utm_campaign,merge_first_name,merge_company,merge_industry,notes,cta_group,cta_text,experiment_id,message_len,tone_formality,risk_level,optout_copy,variant_status,last_updated
DM1-A1,curso,ES,tuteo,general,Ahorra 10+ h/sem con IA,Checklist aplicable en 24h,Lista espera 47,Quedan 8 cupos,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia,{{first_name}},,{{industry}},60' casos reales,A,RESERVA,cta_test_2025w44,89,informal,low,Responde STOP para salir,active,2025-10-30
DM1-A2,curso,ES,usted,general,Casos reales no teoría,Herramientas plug & play,Empresas +$500K,20 cupos quedan 8,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia,{{first_name}},{{company}},{{industry}},Formal,A,RESERVA,cta_test_2025w44,89,formal,low,Responde STOP para salir,active,2025-10-30
DM1-A3,curso,ES,tuteo,ecommerce,Catálogo cambia rápido,Fichas/ads/emails en minutos,Flujos probados,8 cupos,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_ecom,{{first_name}},,ecommerce,Nicho ecom,A,RESERVA,cta_test_2025w44,83,informal,low,Responde STOP para salir,active,2025-10-30
DM1-A4,curso,ES,tuteo,agencias,Escala sin contratar,Briefs en 2 min,3 casos en vivo,Quedan pocos,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_agencias,{{first_name}},,agencias,,A,RESERVA,cta_test_2025w44,73,informal,low,Responde STOP para salir,active,2025-10-30
DM1-A5,curso,EN,neutral,general,Save 10+ hrs/week,24h implementation checklist,47 waitlist,8 seats left,RESERVE,RESERVE,https://tudominio.com/webinar-ia,webinar_ia_en,{{first_name}},,,EN snippet,A,RESERVE,cta_test_2025w44,79,neutral,low,Responde STOP para salir,active,2025-10-30
DM1-A6,curso,PT,neutral,general,Poupe 10+ h/sem,Checklist aplicável em 24h,lista espera 47,8 vagas,RESERVAR,RESERVAR,https://tudominio.com/webinar-ia,webinar_ia_pt,{{first_name}},,,PT snippet,A,RESERVAR,cta_test_2025w44,75,neutral,low,Responde STOP para salir,active,2025-10-30
DM1-A7,curso,ES,tuteo,real_estate,Listings/tours en minutos,DMs follow-up preparados,Caso real,8 cupos,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_re,{{first_name}},,real_estate,,A,RESERVA,cta_test_2025w44,76,informal,low,Responde STOP para salir,active,2025-10-30
DM1-A8,curso,ES,vos,general,3 casos en 60',Ahorro inmediato,Lista espera,8 cupos,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_latam,{{first_name}},,,vos,A,RESERVA,cta_test_2025w44,60,informal,low,Responde STOP para salir,active,2025-10-30
DM1-A9,curso,ES,usted,B2B,Optimización procesos,No-code + plantillas,Benchmarks,Quedan 8,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_b2b,{{first_name}},{{company}},B2B,,A,RESERVA,cta_test_2025w44,70,formal,low,Responde STOP para salir,active,2025-10-30
DM1-A10,curso,ES,tuteo,educacion,Guiones/lecciones en 1h,Outline en 10 min,Casos reales,Últimos 8,RESERVA,RESERVA,https://tudominio.com/webinar-ia,webinar_ia_edu,{{first_name}},,educacion,,A,RESERVA,cta_test_2025w44,72,informal,medium,Responde STOP para salir,active,2025-10-30
DM2-B1,saas,ES,tuteo,B2B,Campañas en 7 min,ROI real-time,Caso cliente +340%,2 cupos,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo,{{first_name}},{{company}},{{industry}},Priorizar Calendly,B,DEMO,cta_test_2025w44,63,informal,medium,Responde STOP para salir,active,2025-10-30
DM2-B2,saas,ES,usted,enterprise,Métricas tiempo real,Sin configuraciones complejas,Acceso anticipado,2 cupos,AGENDA,AGENDA,https://tudominio.com/demo-saas-ia,saas_demo_enterprise,{{first_name}},{{company}},,Formal,B,AGENDA,cta_test_2025w44,83,formal,medium,Responde STOP para salir,active,2025-10-30
DM2-B3,saas,ES,tuteo,agencias,Escala sin headcount,Briefs/reporting minutos,Lista reducida,2 slots,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo_agencias,{{first_name}},,agencias,,B,DEMO,cta_test_2025w44,73,informal,low,Responde STOP para salir,active,2025-10-30
DM2-B4,saas,EN,neutral,B2B,7-minute campaigns,Real-time ROI,Client +340%,2 seats,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo_en,{{first_name}},{{company}},,EN,B,DEMO,cta_test_2025w44,58,neutral,low,Responde STOP para salir,active,2025-10-30
DM2-B5,saas,PT,neutral,B2B,Campanhas em 7 min,ROI em tempo real,cliente +340%,2 vagas,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo_pt,{{first_name}},{{company}},,PT,B,DEMO,cta_test_2025w44,63,neutral,low,Responde STOP para salir,active,2025-10-30
DM2-B6,saas,ES,tuteo,startup,Lanza 3 campañas/sem,Sin ampliar equipo,Go-live cercano,2 cupos,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo_startup,{{first_name}},{{company}},startup,,B,DEMO,cta_test_2025w44,68,informal,medium,Responde STOP para salir,active,2025-10-30
DM2-B7,saas,ES,vos,B2B,Superpoderes equipos chicos,Copy+diseño+estrategia,Prioridad lista,2 lugares,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo_latam,{{first_name}},{{company}},,vos,B,DEMO,cta_test_2025w44,81,informal,low,Responde STOP para salir,active,2025-10-30
DM2-B8,saas,ES,usted,B2B,Integraciones clave,Onboarding simple,NDA disponible,2 agendas,CALENDARIO,CALENDARIO,https://tudominio.com/demo-saas-ia,saas_demo_ndas,{{first_name}},{{company}},,NDA,B,CALENDARIO,cta_test_2025w44,73,formal,low,Responde STOP para salir,active,2025-10-30
DM2-B9,saas,ES,tuteo,ecommerce,UGC+ads por SKU,Variaciones creativas rápidas,DTC pruebas,2 cupos,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo_dtc,{{first_name}},,ecommerce,,B,DEMO,cta_test_2025w44,70,informal,medium,Responde STOP para salir,active,2025-10-30
DM2-B10,saas,ES,tuteo,educacion,Lanzamientos 1/3 tiempo,Páginas+emails+ads,Checklist 24h,2 cupos,DEMO,DEMO,https://tudominio.com/demo-saas-ia,saas_demo_edu,{{first_name}},,educacion,,B,DEMO,cta_test_2025w44,69,informal,medium,Responde STOP para salir,active,2025-10-30
DM3-C1,bulk,ES,tuteo,consultoria,Propuestas en 2 min,Docs presentables,Caso ahorra 40h/sem,3 cupos,SÍ,SÍ,https://tudominio.com/demo-ia-bulk,iabulk_demo,{{first_name}},,consultoria,PDF sample,C,SÍ,cta_test_2025w44,68,informal,low,Responde STOP para salir,active,2025-10-30
DM3-C2,bulk,ES,usted,B2B,Reportes ejecutivos automáticos,Gráficos+recomendaciones,Enterprise-ready,3 cupos,QUIERO,QUIERO,https://tudominio.com/demo-ia-bulk,iabulk_demo_b2b,{{first_name}},{{company}},,,,C,QUIERO,cta_test_2025w44,88,formal,low,Responde STOP para salir,active,2025-10-30
DM3-C3,bulk,ES,tuteo,ecommerce,Descripciones SEO y briefs,Por SKU en minutos,Plantillas nicho,3 cupos,SÍ,SÍ,https://tudominio.com/demo-ia-bulk,iabulk_demo_ecom,{{first_name}},,ecommerce,,C,SÍ,cta_test_2025w44,73,informal,low,Responde STOP para salir,active,2025-10-30
